397	Am
399	Am
1130	Gm
1136	m1A
1137	Am
1140	Am
1154	Cm
1335	Gm
1337	Am
1347	Am
1349	Y
1395	Y
1438	Gm
1490	Y
1496	Y
1546	Y
1562	Gm
1575	Um
1581	Y
1583	Y
1584	Y
1594	Y
1662	Y
1664	Y
1673	Am
1683	Cm
2047	Cm
2106	Cm
2118	Am
2119	Gm
2120	Cm
2156	Am
2170	Um
2177	Cm
2179	Gm
2263	Y
2385	Y
2540	Am
2557	Cm
2568	Am
2577	Cm
2590	Um
2592	Y
2596	Y
2614	Cm
2629	Gm
3283	Gm
3293	Y
3295	Y
3351	Y
3357	Cm
3371	Y
3374	Am
3380	Am
3386	Y
3390	Y
3400	Gm
3414	Y
3416	Am
3418	Y
3420	Y
3424	Y
3426	Y
3438	m5C
3441	Am
3448	Gm
3464	Cm
3474	Ym
3478	Y
3481	Am
3486	Am
3497	Cm
3500	Y
3507	Y
3509	Y
3523	Am
3525	Cm
3540	Y
3543	Cm
3555	Gm
3576	Y
3581	Um
3600	Gm
3615	Y
3692	Gm
3704	Cm
3848	Gm
3872	m6A
3879	Um
3880	Gm
3945	Y
3948	Y
3951	Y
3958	Um
3964	Y
4005	Y
4013	Y
4022	Gm
4044	Gm
4055	Y
4072	Y
4075	Y
4083	Y
4094	Y
4099	m5C
4108	Cm
4109	Y
4123	Y
4145	Y
4146	Gm
4150	Um
4151	Gm
4152	Y
4173	Y
4175	Am
4182	m3U
4183	Y
4184	Y
4188	Cm
4204	Y
4223	Am
4228	Y
4231	Y
4242	Am
4270	Gm
4272	Um
4275	Gm
4280	Y
4288	Y
4289	Gm
4325	Y
4341	Y
4619	Y
4648	Y
4657	Y
