27	Am
34	Y
36	Y
93	Y
99	Am
105	Y
109	Y
116	Um
119	Y
121	Um
159	Am
166	Am
172	Um
174	Cm
212	Y
220	Y
297	Y
355	Um
407	Y
429	Um
437	Gm
463	Cm
469	Am
485	Am
510	Gm
513	Am
518	Cm
573	Y
577	Am
591	Am
602	Gm
610	Y
622	Cm
628	Um
645	Gm
650	Y
652	Y
669	Am
682	Y
684	Gm
687	Y
798	Cm
800	Um
802	Y
815	Y
816	Y
823	Y
864	Y
867	Y
868	Gm
898	Y
919	Y
967	Y
1005	Y
1032	Am
1046	Y
1047	Y
1057	Y
1082	Y
1137	Y
1175	Y
1178	Y
1232	Y
1238	Y
1244	Y
1248	m1acp3Y
1272	Cm
1288	Um
1326	Um
1328	Gm
1337	ac4C
1347	Y
1367	Y
1383	Am
1391	Cm
1442	Um
1445	Y
1447	Gm
1490	Gm
1625	Y
1639	m7G
1643	Y
1668	Um
1678	Am
1692	Y
1703	Cm
1804	Um
1832	m6A
1842	ac4C
1850	m62A
1851	m62A
