Chr	Position	Chr_Pos	ModStatus	CMC	Mod
5.8S	55	5.8S_55	Unm	5.8S_57	Yes
5.8S	56	5.8S_56	Unm	5.8S_57	Yes
5.8S	57	5.8S_57	Y	5.8S_57	Yes
5.8S	58	5.8S_58	Unm	5.8S_57	Yes
5.8S	59	5.8S_59	Unm	5.8S_57	Yes
5.8S	69	5.8S_69	Unm	5.8S_71	Yes
5.8S	70	5.8S_70	Unm	5.8S_71	Yes
5.8S	71	5.8S_71	Y	5.8S_71	Yes
5.8S	72	5.8S_72	Unm	5.8S_71	Yes
5.8S	73	5.8S_73	Unm	5.8S_71	Yes
18S	32	18S_32	Unm	18S_34	Yes
18S	33	18S_33	Unm	18S_34	Yes
18S	34	18S_34	Y	18S_34	Yes
18S	35	18S_35	Unm	18S_34	Yes
18S	36	18S_36	Unm	18S_34	Yes
18S	37	18S_37	Unm	18S_36	Yes
18S	38	18S_38	Unm	18S_36	Yes
18S	91	18S_91	Unm	18S_93	Yes
18S	92	18S_92	Unm	18S_93	Yes
18S	93	18S_93	Y	18S_93	Yes
18S	94	18S_94	Unm	18S_93	Yes
18S	95	18S_95	Unm	18S_93	Yes
18S	103	18S_103	Unm	18S_105	Yes
18S	104	18S_104	Unm	18S_105	Yes
18S	105	18S_105	Y	18S_105	Yes
18S	106	18S_106	Unm	18S_105	Yes
18S	107	18S_107	Unm	18S_105	Yes
18S	108	18S_108	Unm	18S_109	Yes
18S	109	18S_109	Y	18S_109	Yes
18S	110	18S_110	Unm	18S_109	Yes
18S	111	18S_111	Unm	18S_109	Yes
18S	117	18S_117	Unm	18S_119	Yes
18S	118	18S_118	Unm	18S_119	Yes
18S	119	18S_119	Y	18S_119	Yes
18S	120	18S_120	Unm	18S_119	Yes
18S	121	18S_121	Unm	18S_119	Yes
18S	210	18S_210	Unm	18S_212	Yes
18S	211	18S_211	Unm	18S_212	Yes
18S	212	18S_212	Y	18S_212	Yes
18S	213	18S_213	Unm	18S_212	Yes
18S	214	18S_214	Unm	18S_212	Yes
18S	218	18S_218	Unm	18S_220	Yes
18S	219	18S_219	Unm	18S_220	Yes
18S	220	18S_220	Y	18S_220	Yes
18S	221	18S_221	Unm	18S_220	Yes
18S	222	18S_222	Unm	18S_220	Yes
18S	295	18S_295	Unm	18S_297	Yes
18S	296	18S_296	Unm	18S_297	Yes
18S	297	18S_297	Y	18S_297	Yes
18S	298	18S_298	Unm	18S_297	Yes
18S	299	18S_299	Unm	18S_297	Yes
18S	405	18S_405	Unm	18S_407	Yes
18S	406	18S_406	Unm	18S_407	Yes
18S	407	18S_407	Y	18S_407	Yes
18S	408	18S_408	Unm	18S_407	Yes
18S	409	18S_409	Unm	18S_407	Yes
18S	571	18S_571	Unm	18S_573	Yes
18S	572	18S_572	Unm	18S_573	Yes
18S	573	18S_573	Y	18S_573	Yes
18S	574	18S_574	Unm	18S_573	Yes
18S	575	18S_575	Unm	18S_573	Yes
18S	608	18S_608	Unm	18S_610	Yes
18S	609	18S_609	Unm	18S_610	Yes
18S	610	18S_610	Y	18S_610	Yes
18S	611	18S_611	Unm	18S_610	Yes
18S	612	18S_612	Unm	18S_610	Yes
18S	648	18S_648	Unm	18S_650	Yes
18S	649	18S_649	Unm	18S_650	Yes
18S	650	18S_650	Y	18S_650	Yes
18S	651	18S_651	Unm	18S_650	Yes
18S	652	18S_652	Unm	18S_650	Yes
18S	653	18S_653	Unm	18S_652	Yes
18S	654	18S_654	Unm	18S_652	Yes
18S	680	18S_680	Unm	18S_682	Yes
18S	681	18S_681	Unm	18S_682	Yes
18S	682	18S_682	Y	18S_682	Yes
18S	683	18S_683	Unm	18S_682	Yes
18S	684	18S_684	Unm	18S_682	Yes
18S	685	18S_685	Unm	18S_687	Yes
18S	686	18S_686	Unm	18S_687	Yes
18S	687	18S_687	Y	18S_687	Yes
18S	688	18S_688	Unm	18S_687	Yes
18S	689	18S_689	Unm	18S_687	Yes
18S	800	18S_800	Unm	18S_802	Yes
18S	801	18S_801	Unm	18S_802	Yes
18S	802	18S_802	Y	18S_802	Yes
18S	803	18S_803	Unm	18S_802	Yes
18S	804	18S_804	Unm	18S_802	Yes
18S	813	18S_813	Unm	18S_815	Yes
18S	814	18S_814	Unm	18S_815	Yes
18S	815	18S_815	Y	18S_815	Yes
18S	816	18S_816	Unm	18S_815	Yes
18S	817	18S_817	Unm	18S_815	Yes
18S	818	18S_818	Unm	18S_816	Yes
18S	821	18S_821	Unm	18S_823	Yes
18S	822	18S_822	Unm	18S_823	Yes
18S	823	18S_823	Y	18S_823	Yes
18S	824	18S_824	Unm	18S_823	Yes
18S	825	18S_825	Unm	18S_823	Yes
18S	862	18S_862	Unm	18S_864	Yes
18S	863	18S_863	Unm	18S_864	Yes
18S	864	18S_864	Y	18S_864	Yes
18S	865	18S_865	Unm	18S_864	Yes
18S	866	18S_866	Unm	18S_864	Yes
18S	867	18S_867	Y	18S_867	Yes
18S	868	18S_868	Unm	18S_867	Yes
18S	869	18S_869	Unm	18S_867	Yes
18S	896	18S_896	Unm	18S_898	Yes
18S	897	18S_897	Unm	18S_898	Yes
18S	898	18S_898	Y	18S_898	Yes
18S	899	18S_899	Unm	18S_898	Yes
18S	900	18S_900	Unm	18S_898	Yes
18S	917	18S_917	Unm	18S_919	Yes
